Марка и модель,Выигрышная ставка,Записей о продаже,VIN,Пробег,Дата аукциона,Двигатель,Цвет,Коробка передач,Топливо,Привод,Ключи,Состояние,Место продажи,Стоимость ремонта,Рыночная стоимость,Документы,Тип повреждения,Основное повреждение,Второстепенное повреждение,Кузов
2017 Jeep Compass Sport,$ 2 750 USD,1,3C4NJCAB4HT672615,66 862 mi(подтвержден),14.05.2024 18:00 UTC,2.4l 4,Оранжевый,Механическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""DENVER, COLORADO"",$ 9 500 USD,$ 12 950 USD,CO - PUBLIC - SALVAGE TITLE,Столкновение,Повреждение передней части,,
2015 Toyota Corolla L,$ 4 100 USD,1,5YFBURHE0FP251519,83 258 mi(подтвержден),14.05.2024 17:00 UTC,1.8l 4,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HASLET, TEXAS"",$ 19 096 USD,$ 10 950 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,Повреждение задней части,
1989 Ford F150,$ 175 USD,1,1FTEX15H6KKA94592,,14.05.2024 18:00 UTC,5.8l 8,Пожар,Автоматическая,Бензин,задний привод,,улучшенные транспортные средства,""HELENA, MONTANA"",$ 0 USD,$ 2 950 USD,MT - CERTIFICATE OF TITLE,Пожар,Пожар,,
2014 Toyota Camry L,$ 3 000 CAD,1,4T1BF1FK4EU793224,338 907 mi,14.05.2024 18:00 UTC,2.5l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""ROCKY VIEW COUNTY, ALBERTA"",$ 14 267 CAD,$ 0 CAD,AB - BOS - SALVAGE,Столкновение,Повреждение передней части,Град,4-дверный седан
2021 Volkswagen Atlas Cross Sport Sel,$ 7 100 USD,1,1V2BE2CA3MC224098,69 792 mi(подтвержден),14.05.2024 17:00 UTC,3.6l 6,Серый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,двигатель запускается,""HAM LAKE, MINNESOTA"",$ 30 000 USD,$ 31 700 USD,MN - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,
2014 Subaru Xv Crosstrek 2.0i Hybrid,$ 1 950 USD,1,JF2GPBCC4EH287137,114 276 mi(подтвержден),14.05.2024 18:00 UTC,2.0l 4,Зеленый,Автоматическая,Гибрид,Полный привод,Ключи присутствуют,заводится и едет,""BRIGHTON, COLORADO"",$ 14 238 USD,$ 11 800 USD,CO - PUBLIC - SALVAGE TITLE,Столкновение,Повреждение передней части,,
1998 Toyota Avalon Xl,$ 250 USD,1,4T1BF18B1WU270113,232 457 mi,14.05.2024 18:00 UTC,3.0l 6,Золотой,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""BRIGHTON, COLORADO"",$ 9 962 USD,$ 0 USD,CO - BILL OF SALE-PARTS ONLY,Неизвестно,Повреждение передней части,Повреждение задней части,
2021 Tesla Model Y,$ 7 000 USD,1,5YJYGDEE6MF082723,89 490 mi(подтвержден),14.05.2024 16:00 UTC,,Черный,Автоматическая,Электричество,Полный привод,Ключи присутствуют,улучшенные транспортные средства,""SAN DIEGO, CALIFORNIA"",$ 0 USD,$ 33 300 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение задней части,
2011 Toyota Camry Base,$ 4 550 USD,1,4T4BF3EK3BR130290,126 256 mi(подтвержден),14.05.2024 17:00 UTC,2.5l 4,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HAM LAKE, MINNESOTA"",$ 7 750 USD,$ 9 500 USD,MN - CERT OF TITLE-SALVAGE,Столкновение,Повреждение задней части,,
2000 Lexus Es 300,$ 250 USD,1,JT8BF28GXY5079422,169 596 mi,14.05.2024 17:00 UTC,3.0l 6,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HASLET, TEXAS"",$ 4 256 USD,$ 3 300 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,Повреждение задней части,
2023 Hyundai Santa Fe Calligraphy,$ 12 200 USD,1,5NMS5DAL3PH611676,4 183 mi(подтвержден),14.05.2024 18:00 UTC,2.5l 4,Черный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""BRIGHTON, COLORADO"",$ 29 880 USD,$ 37 650 USD,CO - PUBLIC - SALVAGE TITLE,Столкновение,Повреждение передней части,,
2020 Tesla Model 3,$ 5 600 USD,1,5YJ3E1EBXLF537172,29 037 mi(подтвержден),14.05.2024 16:00 UTC,,Красный,Автоматическая,Электричество,Полный привод,Ключи присутствуют,двигатель запускается,""OCALA, FLORIDA"",$ 32 769 USD,$ 27 775 USD,FL - CERTIFICATE OF DESTRUCTION,Столкновение,Повреждение передней части,,
2019 Buick Encore Essence,$ 4 450 USD,1,KL4CJGSM3KB750299,56 653 mi(подтвержден),14.05.2024 17:00 UTC,1.4l 4,Серый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""HAM LAKE, MINNESOTA"",$ 17 704 USD,$ 19 125 USD,MN - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,Повреждение стороны,
2018 Nissan Sentra S,$ 450 USD,1,3N1AB7AP1JL651468,,14.05.2024 19:00 UTC,1.8l 4,Красный,Автоматическая,Бензин,передний привод,,,""PHOENIX, ARIZONA"",$ 35 663 USD,$ 12 000 USD,AZ - CERT OF TITLE - SALVAGE,Неизвестно,Повсюду,,
2022 Subaru Wrx Premium,$ 3 100 USD,1,JF1VBAF60N9025278,23 718 mi,14.05.2024 19:00 UTC,2.5l 4,Черный,Автоматическая,Бензин,Полный привод,,,""PHOENIX, ARIZONA"",$ 20 917 USD,$ 29 575 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение задней части,Повреждение стороны,
2004 Volkswagen New Beetle Gls,$ 1 250 USD,1,3VWCD21Y14M306626,56 901 mi(подтвержден),14.05.2024 17:00 UTC,1.8l 4,Кремовый,Автоматическая,Бензин,передний привод,,улучшенные транспортные средства,""ELGIN, ILLINOIS"",$ 6 634 USD,$ 0 USD,IL - SALVAGE CERTIFICATE,Неизвестно,Повреждение передней части,Повреждение ходовой части,
2011 Bmw 550 I,$ 1 400 USD,1,WBAFR9C5XBC758910,,14.05.2024 19:00 UTC,4.4l 8,Серый,Автоматическая,Бензин,задний привод,,улучшенные транспортные средства,""PHOENIX, ARIZONA"",$ 8 434 USD,$ 5 250 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение задней части,,
2020 Chevrolet Camaro Ss,$ 19 100 USD,1,1G1FH1R77L0147289,58 882 mi,14.05.2024 17:00 UTC,6.2l 8,Синий,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""HASLET, TEXAS"",$ 0 USD,$ 41 300 USD,TX - CERTIFICATE OF TITLE,Кража,Вандализм,,
2015 Mazda Cx-5 Touring,$ 2 900 USD,1,JM3KE4CY4F0476478,118 517 mi(подтвержден),14.05.2024 17:00 UTC,2.5l 4,Синий,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""HAM LAKE, MINNESOTA"",$ 9 287 USD,$ 11 875 USD,MN - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,Повреждение стороны,
2009 Acura Mdx Technology,$ 1 250 USD,1,2HNYD28699H527825,240 722 mi,14.05.2024 17:00 UTC,3.7l 6,Черный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""HOUSTON, TEXAS"",$ 5 370 USD,$ 6 750 USD,TX - CERTIFICATE OF TITLE,Столкновение,Повреждение стороны,,
2014 Dodge Charger R/t,$ 1 900 USD,1,2C3CDXDT2EH320197,102 812 mi(подтвержден),14.05.2024 18:00 UTC,5.7l 8,Серый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""BRIGHTON, COLORADO"",$ 21 067 USD,$ 15 450 USD,CO - PUBLIC - SALVAGE TITLE,Столкновение,Повреждение передней части,Повреждение ходовой части,
2015 Acura Rdx,$ 425 USD,1,5J8TB4H34FL009581,,14.05.2024 17:00 UTC,3.5l 6,Черный,Автоматическая,Бензин,Полный привод,,улучшенные транспортные средства,""MCFARLAND, WISCONSIN"",$ 16 205 USD,$ 12 650 USD,WI - JUNKED VEHICLE BILL OF SALE,Столкновение,Повсюду,,
2014 Subaru Forester 2.0xt Touring,$ 4 550 USD,1,JF2SJGMC0EH511723,134 837 mi(подтвержден),14.05.2024 17:00 UTC,2.0l 4,Черный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,двигатель запускается,""MCFARLAND, WISCONSIN"",$ 9 546 USD,$ 11 975 USD,WI - CERTIFICATE OF TITLE,Столкновение,Повреждение стороны,,
2020 Toyota Rav4 Le,$ 8 000 USD,1,2T3H1RFV5LC045413,36 608 mi(подтвержден),14.05.2024 19:00 UTC,2.5l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""SAN DIEGO, CALIFORNIA"",$ 22 106 USD,$ 23 750 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,,
2010 Lexus Rx 350,$ 4 050 USD,1,2T2ZK1BA2AC018113,174 322 mi(подтвержден),14.05.2024 17:00 UTC,3.5l 6,Бордовый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HASLET, TEXAS"",$ 0 USD,$ 11 550 USD,TX - SALVAGE VEHICLE TITLE,Неизвестно,Повреждение передней части,,
2022 Subaru Outback Premium,$ 9 000 USD,2,4S4BTACC2N3270277,25 122 mi(подтвержден),14.05.2024 18:00 UTC,2.5l 4,Зеленый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""DENVER, COLORADO"",$ 10 048 USD,$ 29 250 USD,CO - PUBLIC - SALVAGE TITLE,Столкновение,Повреждение передней части,,
2014 Ford F150 Supercrew,$ 4 100 USD,1,1FTEW1CMXEFA27669,134 526 mi(подтвержден),14.05.2024 17:00 UTC,3.7l 6,Черный,Автоматическая,Этанолосодержащий бензин,задний привод,Ключи присутствуют,заводится и едет,""HOUSTON, TEXAS"",$ 13 367 USD,$ 17 150 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,,
2022 Tesla Model Y,$ 13 000 USD,1,7SAYGDEF1NF530122,33 275 mi(подтвержден),14.05.2024 16:00 UTC,,Белый,Автоматическая,Электричество,Полный привод,Ключи присутствуют,двигатель запускается,""SUN VALLEY, CALIFORNIA"",$ 33 248 USD,$ 40 575 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,,
2022 Ford Escape Se,$ 5 600 USD,1,1FMCU0G65NUA43966,43 068 mi(подтвержден),14.05.2024 17:00 UTC,1.5l 3,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""KANSAS CITY, KANSAS"",$ 11 655 USD,$ 23 125 USD,KS - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,Повреждение стороны,
2017 Ford Focus Se,$ 3 350 USD,2,1FADP3F24HL290377,46 039 mi(подтвержден),14.05.2024 17:00 UTC,2.0l 4,Угольный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HAM LAKE, MINNESOTA"",$ 8 258 USD,$ 10 050 USD,MN - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,Повреждение стороны,
2019 Ford Mustang,$ 6 600 USD,1,1FA6P8TH2K5105947,70 031 mi(подтвержден),14.05.2024 17:00 UTC,2.3l 4,Угольный,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""HASLET, TEXAS"",$ 12 619 USD,$ 17 725 USD,TX - CERTIFICATE OF TITLE,Столкновение,Повреждение передней части,Повреждение задней части,
2024 Tesla Model Y,$ 13 600 USD,1,7SAYGDEEXRA234509,290 mi(подтвержден),14.05.2024 16:00 UTC,,Синий,Автоматическая,Электричество,Полный привод,,улучшенные транспортные средства,""FREDERICKSBURG, VIRGINIA"",$ 19 768 USD,$ 0 USD,VA - CERT OF TITLE - SALVAGE,Столкновение,Повреждение передней части,,
2013 Nissan Pathfinder S,$ 1 500 USD,1,5N1AR2MM6DC661261,148 947 mi(подтвержден),14.05.2024 17:00 UTC,3.5l 6,Черный,Автоматическая,Бензин,4х4 с передним приводом,Ключи присутствуют,заводится и едет,""KANSAS CITY, MISSOURI"",$ 5 800 USD,$ 6 450 USD,MO - SALVAGE CERTIFICATE OF TITLE,Столкновение,Повреждение передней части,,
2004 Jaguar Xjr S,$ 375 USD,6,SAJWA73B44TG26043,110 378 mi(подтвержден),14.05.2024 19:00 UTC,4.2l 8,Черный,Автоматическая,Бензин,задний привод,Ключи присутствуют,улучшенные транспортные средства,""PHOENIX, ARIZONA"",$ 0 USD,$ 7 100 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повсюду,,
2011 Land Rover Range Rover Sport Lux,$ 1 050 USD,3,SALSK2D41BA291464,,14.05.2024 17:00 UTC,5.0l 8,Черный,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,,""MCFARLAND, WISCONSIN"",$ 7 920 USD,$ 7 200 USD,WI - CERT OF TITLE-REBUILT SALVAGE,Материальный ущерб,Повреждение передней части,,
2013 Ford Edge Sel,$ 3 250 USD,2,2FMDK3J91DBA52019,93 017 mi(подтвержден),14.05.2024 17:00 UTC,2.0l 4,Темно-бордовый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HASLET, TEXAS"",$ 7 601 USD,$ 8 025 USD,TX - CERTIFICATE OF TITLE,Град,Град,,
2010 Dodge Ram 1500,$ 4 050 USD,1,1D7RV1CT3AS260831,128 112 mi,14.05.2024 17:00 UTC,5.7l 8,Белый,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,""HAM LAKE, MINNESOTA"",$ 13 564 USD,$ 12 325 USD,MN - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,
2016 Hyundai Accent Se,$ 1 650 USD,1,KMHCT4AEXGU064339,47 101 mi(подтвержден),14.05.2024 17:00 UTC,1.6l 4,Красный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""KANSAS CITY, KANSAS"",$ 9 678 USD,$ 8 750 USD,KS - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,
